# Synthetic hourly wind capacity factor, one year, dimensionless 0 to 1.
# Generated by make_profiles.py with seed 20260815. Not measured data.
# Speeds drawn from a Weibull distribution, shape 2.1 and scale 8.0 m/s,
# with hour to hour autocorrelation, passed through the toolkit power
# curve with cut-in 3, rated 12 and cut-out 25 m/s.
hour,wind_speed_ms,cf
71,9.0272,0.4166
72,11.5591,0.8921
73,9.6271,0.5087
74,10.0007,0.5721
75,12.8013,1.0000
76,12.0985,1.0000
77,10.4932,0.6634
78,9.9270,0.5592
79,9.1802,0.4390
80,7.6176,0.2440
81,6.4881,0.1447
82,6.2439,0.1272
83,5.7753,0.0974
84,6.7331,0.1636
85,7.0044,0.1862
86,6.3910,0.1376
87,6.6357,0.1559
88,5.0422,0.0595
89,4.7366,0.0466
90,5.4038,0.0769
91,5.6175,0.0883
92,6.4032,0.1385
93,5.2216,0.0678
94,4.6335,0.0426
95,6.1356,0.1199
96,6.7875,0.1680
97,8.1225,0.2992
98,7.6855,0.2510
99,8.3103,0.3215
100,7.8368,0.2671
101,7.4364,0.2259
102,7.4822,0.2304
103,6.8067,0.1695
104,6.0912,0.1170
105,5.1010,0.0622
106,4.5580,0.0398
107,4.9743,0.0565
108,5.8109,0.0995
109,6.3933,0.1378
110,6.5684,0.1507
111,6.0065,0.1115
112,5.3199,0.0726
113,7.2716,0.2102
114,6.7305,0.1634
115,7.7803,0.2610
116,9.4244,0.4762
117,8.1251,0.2995
118,6.5253,0.1475
119,5.5433,0.0843
120,4.8271,0.0502
121,6.1186,0.1188
122,7.2659,0.2096
123,7.8157,0.2648
124,7.9389,0.2783
125,7.2387,0.2071
126,8.0888,0.2953
127,6.3182,0.1324
128,6.9741,0.1835
129,8.0118,0.2865
130,8.1479,0.3021
131,7.7710,0.2600
132,8.5971,0.3577
133,9.6426,0.5112
134,9.6190,0.5074
135,10.4907,0.6629
136,9.4306,0.4772
137,9.0406,0.4185
138,9.5780,0.5007
139,8.6272,0.3616
140,9.6068,0.5054
141,10.5967,0.6836
142,9.9290,0.5596
143,11.3581,0.8456
144,12.3061,1.0000
145,12.2899,1.0000
146,12.8756,1.0000
147,12.9499,1.0000
148,12.8413,1.0000
149,11.1425,0.7974
150,9.7266,0.5251
151,8.0251,0.2880
152,7.6198,0.2442
153,7.9286,0.2771
154,7.4400,0.2262
155,5.9458,0.1077
156,6.5909,0.1524
157,8.2934,0.3195
158,7.2266,0.2060
159,5.7133,0.0938
160,6.2992,0.1311
161,4.8105,0.0496
162,6.4434,0.1414
163,6.9008,0.1773
164,6.9949,0.1853
165,6.5407,0.1486
166,6.6905,0.1602
167,8.3487,0.3262
168,7.5180,0.2339
169,6.7215,0.1627
170,7.6746,0.2499
171,7.8880,0.2727
172,7.5982,0.2420
173,6.5684,0.1507
174,7.2869,0.2116
175,7.2514,0.2083
176,5.7246,0.0944
177,5.1449,0.0642
178,6.0457,0.1140
179,9.0375,0.4181
180,9.6196,0.5074
181,9.9808,0.5686
182,8.5539,0.3521
183,9.0899,0.4257
184,8.5021,0.3454
185,7.0724,0.1921
186,7.3716,0.2196
187,7.1526,0.1992
188,7.7937,0.2624
189,7.7155,0.2541
190,6.9549,0.1819
191,7.0187,0.1874
192,6.6114,0.1540
193,7.4514,0.2274
194,7.1953,0.2031
195,6.1082,0.1181
196,7.1902,0.2027
197,6.9326,0.1800
198,5.6233,0.0887
199,6.5965,0.1529
200,6.9130,0.1783
201,7.7857,0.2616
202,9.0087,0.4139
203,7.9095,0.2750
204,8.1489,0.3023
205,7.4423,0.2265
206,9.3295,0.4615
207,10.2428,0.6159
208,9.4752,0.4842
209,8.8819,0.3960
210,8.9052,0.3993
211,8.1335,0.3005
212,6.3704,0.1361
213,6.6451,0.1566
214,8.0856,0.2949
215,8.5227,0.3481
216,10.7901,0.7227
217,11.3902,0.8529
218,12.0216,1.0000
219,13.7329,1.0000
220,14.4206,1.0000
221,14.9843,1.0000
222,14.6823,1.0000
223,12.6506,1.0000
224,12.8840,1.0000
225,11.8564,0.9640
226,11.9856,0.9964
227,12.5196,1.0000
228,11.0380,0.7747
229,11.4998,0.8782
230,12.5210,1.0000
231,11.4301,0.8620
232,10.4147,0.6482
233,9.0337,0.4175
234,8.6589,0.3658
235,8.2942,0.3196
236,9.5184,0.4911
237,8.6887,0.3697
238,9.1655,0.4368
239,9.1612,0.4361
240,9.7518,0.5293
241,10.2062,0.6091
242,10.7409,0.7126
243,7.9163,0.2758
244,8.5956,0.3575
245,7.7701,0.2599
246,6.4783,0.1440
247,3.9965,0.0217
248,4.0817,0.0241
249,4.1037,0.0248
250,3.3288,0.0058
251,3.4781,0.0089
252,4.2868,0.0304
253,4.2874,0.0305
254,4.7345,0.0465
255,6.3315,0.1333
256,4.9167,0.0540
257,3.9676,0.0208
258,3.7065,0.0141
259,3.3006,0.0053
260,2.4115,0.0000
261,2.7333,0.0000
262,2.2997,0.0000
263,2.2710,0.0000
264,2.6321,0.0000
265,2.1790,0.0000
266,1.3399,0.0000
267,1.3811,0.0000
268,0.9705,0.0000
269,1.4050,0.0000
270,1.3119,0.0000
271,1.8415,0.0000
272,2.4072,0.0000
273,2.6590,0.0000
274,2.1886,0.0000
275,2.5031,0.0000
276,2.8689,0.0000
277,3.3592,0.0064
278,3.8970,0.0189
279,3.6194,0.0120
280,2.6863,0.0000
281,3.1407,0.0023
282,3.2605,0.0045
283,3.4236,0.0077
284,2.3775,0.0000
285,1.9303,0.0000
286,2.3453,0.0000
287,3.7897,0.0161
288,3.5089,0.0095
289,3.9827,0.0213
290,4.8992,0.0533
291,4.7001,0.0452
292,4.4287,0.0352
293,4.4640,0.0364
294,5.2501,0.0692
295,5.6351,0.0893
296,5.3313,0.0732
297,4.2255,0.0285
298,3.8441,0.0175
299,4.4125,0.0346
300,5.0766,0.0610
301,4.4769,0.0369
302,4.0221,0.0224
303,3.5873,0.0113
304,2.4104,0.0000
305,2.2558,0.0000
306,2.7256,0.0000
307,3.3540,0.0063
308,2.6266,0.0000
309,4.0673,0.0237
310,4.5083,0.0380
311,5.3654,0.0749
312,5.5760,0.0860
313,3.7155,0.0143
314,2.7236,0.0000
315,2.8491,0.0000
316,1.8821,0.0000
317,2.3250,0.0000
318,3.5641,0.0107
319,4.3269,0.0318
320,4.8563,0.0515
321,5.5353,0.0838
322,6.3577,0.1352
323,5.5356,0.0839
324,6.3904,0.1375
325,6.4296,0.1404
326,6.6223,0.1549
327,6.8949,0.1768
328,5.4150,0.0775
329,5.4434,0.0789
330,4.3474,0.0324
331,2.2608,0.0000
332,1.8576,0.0000
333,2.5504,0.0000
334,3.5517,0.0105
335,4.5597,0.0399
336,5.6243,0.0887
337,4.8096,0.0495
338,3.6714,0.0132
339,3.1301,0.0022
340,2.7820,0.0000
341,2.7936,0.0000
342,2.0810,0.0000
343,1.3979,0.0000
344,1.1170,0.0000
345,1.5836,0.0000
346,1.3837,0.0000
347,1.8374,0.0000
348,1.9032,0.0000
349,3.6467,0.0126
350,2.6823,0.0000
351,2.7349,0.0000
352,3.1719,0.0029
353,4.0567,0.0234
354,3.0030,0.0000
355,2.1183,0.0000
356,1.7440,0.0000
357,2.5327,0.0000
358,3.1568,0.0026
359,4.4808,0.0370
360,4.6143,0.0419
361,4.2595,0.0296
362,4.7317,0.0464
363,4.9726,0.0564
364,5.6569,0.0905
365,5.3029,0.0718
366,5.1632,0.0650
367,4.6332,0.0426
368,4.8258,0.0502
369,2.9481,0.0000
370,3.9893,0.0215
371,4.3272,0.0318
372,5.5014,0.0820
373,4.2442,0.0291
374,5.5353,0.0838
375,3.4690,0.0087
376,4.4145,0.0347
377,4.9714,0.0564
378,5.0055,0.0579
379,4.7167,0.0458
380,4.4146,0.0347
381,3.5386,0.0102
382,3.1306,0.0022
383,3.6178,0.0120
384,3.6607,0.0130
385,3.5679,0.0108
386,4.4677,0.0366
387,4.6961,0.0450
388,5.0734,0.0609
389,6.7446,0.1645
390,6.4723,0.1435
391,6.1912,0.1236
392,6.7177,0.1623
393,6.1671,0.1220
394,5.7085,0.0935
395,5.7620,0.0966
396,6.1332,0.1198
397,7.2619,0.2093
398,7.8773,0.2715
399,10.3331,0.6327
400,10.3309,0.6323
401,10.2583,0.6188
402,7.9870,0.2837
403,8.2425,0.3133
404,5.2558,0.0695
405,6.6826,0.1596
406,7.9098,0.2751
407,10.4945,0.6636
408,9.7756,0.5333
409,9.7368,0.5268
410,9.3080,0.4582
411,8.0151,0.2868
412,7.3641,0.2189
413,9.2406,0.4480
414,8.6774,0.3683
415,7.1398,0.1981
416,7.3139,0.2141
417,7.9883,0.2838
418,5.9753,0.1095
419,5.1177,0.0629
420,6.5832,0.1519
421,6.0982,0.1174
422,7.4661,0.2288
423,7.2730,0.2103
424,7.2047,0.2040
425,5.7678,0.0969
426,4.0949,0.0245
427,5.3603,0.0747
428,3.6641,0.0130
429,5.2296,0.0682
430,5.3362,0.0735
431,4.4167,0.0348
432,4.6454,0.0431
433,6.1628,0.1217
434,7.7073,0.2533
435,8.3638,0.3281
436,7.7081,0.2534
437,7.1550,0.1995
438,6.2718,0.1292
439,5.5321,0.0837
440,7.4051,0.2228
441,7.2179,0.2052
442,6.1177,0.1187
443,6.2527,0.1278
444,7.1385,0.1980
445,6.7468,0.1647
446,8.6300,0.3620
447,8.2216,0.3108
448,9.9919,0.5706
449,8.6774,0.3682
450,9.3617,0.4665
451,10.3209,0.6305
452,9.7340,0.5263
453,9.7580,0.5304
454,9.0616,0.4216
455,9.1213,0.4303
456,9.8144,0.5399
457,11.0641,0.7804
458,8.0284,0.2883
459,6.9765,0.1837
460,5.0051,0.0578
461,4.0936,0.0245
462,4.8949,0.0531
463,6.0161,0.1121
464,5.7927,0.0984
465,5.6284,0.0889
466,5.7948,0.0985
467,6.1422,0.1204
468,5.4217,0.0778
469,5.6319,0.0891
470,4.8458,0.0510
471,4.3185,0.0315
472,4.4827,0.0371
473,3.8833,0.0186
474,5.8593,0.1024
475,7.5020,0.2323
476,8.9727,0.4088
477,8.4118,0.3340
478,8.9354,0.4035
479,4.9249,0.0544
480,3.6764,0.0133
481,4.3645,0.0330
482,3.9289,0.0198
483,4.4759,0.0368
484,3.5167,0.0097
485,2.7822,0.0000
486,3.3484,0.0062
487,2.9733,0.0000
488,3.0085,0.0001
489,2.6193,0.0000
490,2.9186,0.0000
491,3.6191,0.0120
492,3.2092,0.0036
493,4.2961,0.0307
494,3.4106,0.0075
495,3.7923,0.0162
496,5.5531,0.0848
497,6.1573,0.1214
498,6.0870,0.1167
499,7.6287,0.2451
500,7.2418,0.2074
501,7.2679,0.2098
502,7.3060,0.2134
503,6.4892,0.1448
504,4.3975,0.0341
505,4.4031,0.0343
506,5.5619,0.0853
507,7.2078,0.2043
508,7.0617,0.1911
509,7.2026,0.2038
510,8.8764,0.3953
511,8.0728,0.2934
512,9.1124,0.4290
513,6.6251,0.1551
514,7.4112,0.2234
515,8.0845,0.2948
516,6.6214,0.1548
517,5.2950,0.0714
518,5.4607,0.0799
519,7.0719,0.1920
520,6.7378,0.1639
521,5.8044,0.0991
522,5.7306,0.0948
523,5.3890,0.0761
524,5.6613,0.0908
525,4.8842,0.0526
526,6.1089,0.1182
527,5.7018,0.0931
528,4.8477,0.0511
529,4.5543,0.0397
530,4.8222,0.0501
531,2.9835,0.0000
532,2.9823,0.0000
533,2.9124,0.0000
534,3.7417,0.0149
535,5.2040,0.0670
536,3.5606,0.0107
537,3.3127,0.0055
538,2.9668,0.0000
539,2.9200,0.0000
540,2.5687,0.0000
541,2.9116,0.0000
542,1.6612,0.0000
543,2.7777,0.0000
544,3.4112,0.0075
545,4.9811,0.0568
546,5.2167,0.0676
547,5.8486,0.1017
548,4.3772,0.0334
549,4.6284,0.0424
550,4.5609,0.0399
551,3.2421,0.0042
552,3.8131,0.0167
553,2.9628,0.0000
554,2.5319,0.0000
555,2.6312,0.0000
556,2.9045,0.0000
557,2.5489,0.0000
558,3.4049,0.0073
559,3.7129,0.0142
560,4.9656,0.0561
561,5.0113,0.0581
562,4.3572,0.0328
563,4.4931,0.0375
564,2.7377,0.0000
565,2.9827,0.0000
566,2.6446,0.0000
567,3.7529,0.0152
568,3.7211,0.0144
569,4.1812,0.0271
570,4.0725,0.0238
571,3.6264,0.0122
572,3.3197,0.0056
573,3.4941,0.0092
574,4.0997,0.0246
575,4.8480,0.0511
576,5.2545,0.0694
577,4.3815,0.0336
578,4.8065,0.0494
579,3.4407,0.0081
580,3.4750,0.0088
581,3.8186,0.0169
582,3.5527,0.0105
583,3.1296,0.0021
584,4.5394,0.0391
585,3.7531,0.0152
586,4.4333,0.0354
587,4.8636,0.0518
588,4.7726,0.0480
589,4.2752,0.0301
590,4.3478,0.0324
591,4.0684,0.0237
592,4.3753,0.0334
593,4.3604,0.0329
594,4.9249,0.0544
595,4.6441,0.0430
596,4.7635,0.0477
597,4.4566,0.0362
598,5.0280,0.0589
599,5.7055,0.0933
600,4.4279,0.0352
601,4.4112,0.0346
602,5.0698,0.0607
603,4.8734,0.0522
604,7.6716,0.2496
605,6.8162,0.1703
606,5.1291,0.0635
607,4.8682,0.0520
608,3.7696,0.0156
609,4.6065,0.0416
610,3.2932,0.0051
611,1.9581,0.0000
612,2.9327,0.0000
613,3.1756,0.0030
614,3.4125,0.0075
615,3.0549,0.0009
616,3.9695,0.0209
617,4.0486,0.0231
618,3.4867,0.0090
619,3.5255,0.0099
620,5.1992,0.0668
621,6.2631,0.1286
622,7.0618,0.1912
623,6.1785,0.1228
624,8.0579,0.2917
625,8.8458,0.3910
626,7.4754,0.2297
627,5.8094,0.0994
628,6.7677,0.1664
629,5.7706,0.0971
630,7.1066,0.1951
631,6.6120,0.1541
632,7.1301,0.1972
633,7.5322,0.2354
634,8.0876,0.2951
635,7.5764,0.2398
636,9.6106,0.5060
637,11.0355,0.7742
638,9.0308,0.4171
639,8.9765,0.4094
640,9.9039,0.5552
641,9.7575,0.5303
642,9.0382,0.4182
643,8.8547,0.3923
644,10.9376,0.7534
645,10.9518,0.7564
646,10.2550,0.6181
647,9.2299,0.4464
648,8.1100,0.2977
649,6.6629,0.1580
650,5.5891,0.0868
651,5.0728,0.0609
652,8.2374,0.3127
653,8.1373,0.3009
654,9.2057,0.4428
655,7.4710,0.2293
656,7.0019,0.1859
657,6.7678,0.1664
658,6.6323,0.1556
659,6.9409,0.1807
660,7.3760,0.2200
661,9.9137,0.5569
662,9.2647,0.4516
663,6.7589,0.1656
664,6.3290,0.1332
665,6.7102,0.1618
666,6.9599,0.1823
667,5.3371,0.0735
668,6.1609,0.1216
669,7.7370,0.2564
670,8.3447,0.3257
671,6.7126,0.1619
672,7.6398,0.2463
673,8.8342,0.3895
674,8.0147,0.2868
675,9.1991,0.4418
676,8.5257,0.3484
677,9.8131,0.5397
678,10.3047,0.6274
679,11.2105,0.8124
680,10.2597,0.6190
681,10.7520,0.7149
682,11.5126,0.8812
683,13.5150,1.0000
684,12.2288,1.0000
685,12.3700,1.0000
686,12.5760,1.0000
687,13.1088,1.0000
688,13.8490,1.0000
689,13.7537,1.0000
690,13.3258,1.0000
691,12.5047,1.0000
692,11.3224,0.8375
693,9.5993,0.5041
694,8.8306,0.3890
695,9.2450,0.4487
696,8.3946,0.3319
697,7.4390,0.2261
698,7.6343,0.2457
699,8.4171,0.3347
700,6.8811,0.1757
701,7.3576,0.2183
702,7.7883,0.2619
703,7.7756,0.2605
704,7.3696,0.2194
705,9.2197,0.4449
706,10.4459,0.6542
707,9.6272,0.5087
708,8.6264,0.3615
709,7.9741,0.2822
710,7.5796,0.2401
711,6.3896,0.1375
712,5.5849,0.0865
713,4.1890,0.0273
714,4.8188,0.0499
715,5.3818,0.0758
716,6.5784,0.1515
717,8.8442,0.3908
718,8.7302,0.3753
719,8.0187,0.2872
720,8.0725,0.2934
721,6.5576,0.1499
722,6.1920,0.1237
723,5.7819,0.0978
724,8.1992,0.3082
725,7.7285,0.2555
726,7.7892,0.2620
727,7.9825,0.2832
728,6.3715,0.1362
729,6.1778,0.1227
730,7.6640,0.2488
731,7.3665,0.2191
732,6.7457,0.1646
733,5.2286,0.0682
734,5.4415,0.0788
735,6.7504,0.1650
736,5.7219,0.0943
737,5.6602,0.0907
738,6.8570,0.1737
739,7.4869,0.2308
740,5.9254,0.1064
741,6.7884,0.1680
742,4.7117,0.0456
743,4.0222,0.0224
744,4.7921,0.0488
745,5.3703,0.0752
746,4.8088,0.0495
747,4.5968,0.0412
748,5.3970,0.0765
749,5.3236,0.0728
750,5.2129,0.0674
751,5.2391,0.0687
752,4.9072,0.0536
753,3.8676,0.0181
754,3.5089,0.0095
755,5.2505,0.0692
756,5.6874,0.0923
757,4.7675,0.0478
758,5.5414,0.0842
759,5.0954,0.0619
760,5.1271,0.0634
761,5.7263,0.0945
762,4.6918,0.0448
763,4.9833,0.0569
764,5.2135,0.0674
765,6.3895,0.1375
766,7.6986,0.2524
767,8.4309,0.3364
768,7.2696,0.2100
769,6.0089,0.1117
770,6.3243,0.1328
771,6.8098,0.1698
772,6.3490,0.1346
773,7.7865,0.2617
774,8.0676,0.2928
775,9.0253,0.4163
776,9.7457,0.5283
777,8.6283,0.3618
778,7.1509,0.1991
779,9.0220,0.4158
780,9.9358,0.5608
781,9.2572,0.4505
782,7.3009,0.2129
783,7.7532,0.2581
784,7.4766,0.2298
785,9.2600,0.4509
786,9.1953,0.4412
787,9.7895,0.5357
788,9.4676,0.4830
789,7.5038,0.2325
790,6.1508,0.1209
791,5.7884,0.0981
792,6.3740,0.1364
793,9.3417,0.4634
794,8.3175,0.3224
795,7.3229,0.2150
796,6.5223,0.1472
797,7.1258,0.1968
798,5.6165,0.0883
799,5.5459,0.0844
800,5.7175,0.0940
801,6.7842,0.1677
802,7.5454,0.2367
803,7.5571,0.2379
804,7.9691,0.2817
805,9.2491,0.4493
806,8.7465,0.3775
807,9.3529,0.4651
808,10.7483,0.7141
809,11.0711,0.7819
810,10.6171,0.6877
811,9.0079,0.4138
812,8.0058,0.2858
813,8.2603,0.3155
814,7.5873,0.2409
815,9.7646,0.5315
816,9.1498,0.4345
817,9.2255,0.4457
818,7.4984,0.2320
819,7.7704,0.2599
820,5.5560,0.0850
821,4.5908,0.0410
822,4.8481,0.0511
823,5.6062,0.0877
824,6.4015,0.1383
825,6.4971,0.1454
826,9.4936,0.4871
827,8.4414,0.3378
828,10.3493,0.6358
829,10.9980,0.7662
830,10.6560,0.6955
831,12.0016,1.0000
832,8.9318,0.4030
833,9.0934,0.4262
834,9.4705,0.4835
835,10.4551,0.6560
836,11.7089,0.9278
837,10.0160,0.5748
838,11.9194,0.9797
839,14.5512,1.0000
840,15.8433,1.0000
841,12.9011,1.0000
842,13.0108,1.0000
843,11.8183,0.9546
844,12.1575,1.0000
845,11.4758,0.8726
846,9.9743,0.5675
847,8.9209,0.4015
848,7.6296,0.2452
849,6.8765,0.1753
850,7.4666,0.2288
851,7.4362,0.2259
852,6.8743,0.1751
853,4.4025,0.0343
854,5.0588,0.0602
855,4.0938,0.0245
856,3.3101,0.0054
857,4.4470,0.0358
858,4.4803,0.0370
859,5.2256,0.0680
860,3.7803,0.0159
861,3.7244,0.0145
862,4.5062,0.0379
863,4.3853,0.0337
864,5.4493,0.0793
865,5.1418,0.0640
866,3.6851,0.0135
867,5.6842,0.0921
868,4.5094,0.0380
869,3.8701,0.0182
870,3.5964,0.0115
871,3.8023,0.0164
872,3.7861,0.0160
873,3.8077,0.0166
874,3.1381,0.0023
875,2.3891,0.0000
876,2.3661,0.0000
877,2.4393,0.0000
878,3.5540,0.0105
879,4.1422,0.0259
880,5.8391,0.1012
881,4.7504,0.0471
882,3.8424,0.0175
883,4.0538,0.0233
884,3.5893,0.0113
885,3.2451,0.0042
886,3.3297,0.0058
887,2.4624,0.0000
888,2.9646,0.0000
889,3.6025,0.0116
890,2.4938,0.0000
891,4.0379,0.0228
892,4.1076,0.0249
893,5.1499,0.0644
894,4.4532,0.0360
895,4.0007,0.0218
896,3.8387,0.0174
897,4.3135,0.0313
898,4.0986,0.0246
899,4.3541,0.0327
900,4.9253,0.0544
901,4.5636,0.0400
902,4.4134,0.0347
903,4.0775,0.0240
904,4.6064,0.0416
905,4.7954,0.0490
906,5.1198,0.0630
907,5.0890,0.0616
908,5.8472,0.1017
909,5.9939,0.1107
910,4.9410,0.0550
911,5.2228,0.0679
912,4.1454,0.0260
913,4.9708,0.0563
914,5.7514,0.0960
915,7.3265,0.2153
916,7.4016,0.2225
917,7.2148,0.2049
918,7.3490,0.2175
919,7.5061,0.2327
920,8.2733,0.3170
921,9.0607,0.4214
922,9.5095,0.4897
923,8.5955,0.3575
924,11.2055,0.8113
925,9.7434,0.5279
926,10.8683,0.7388
927,11.2725,0.8262
928,11.9654,0.9912
929,12.1839,1.0000
930,10.5346,0.6714
931,9.8916,0.5531
932,8.9949,0.4120
933,9.3051,0.4578
934,10.4145,0.6482
935,10.1763,0.6037
936,7.1073,0.1952
937,8.1029,0.2969
938,9.1831,0.4394
939,7.8757,0.2713
940,9.4029,0.4729
941,8.7023,0.3716
942,8.6210,0.3608
943,6.5043,0.1459
944,5.7337,0.0949
945,6.0517,0.1144
946,6.1294,0.1195
947,6.1816,0.1230
948,7.6965,0.2521
949,6.9126,0.1783
950,7.5881,0.2410
951,7.7284,0.2555
952,7.3769,0.2201
953,9.0312,0.4172
954,9.4552,0.4811
955,9.3182,0.4598
956,10.0148,0.5746
957,8.1912,0.3072
958,8.4647,0.3407
959,8.1863,0.3067
960,9.9265,0.5591
961,10.5735,0.6791
962,9.5252,0.4922
963,9.6048,0.5050
964,7.8837,0.2722
965,7.7929,0.2623
966,7.8165,0.2649
967,8.8075,0.3858
968,9.1357,0.4324
969,8.5350,0.3496
970,10.2670,0.6204
971,10.6085,0.6860
972,12.2287,1.0000
973,11.8035,0.9509
974,12.6394,1.0000
975,11.8250,0.9562
976,9.9877,0.5698
977,11.3960,0.8542
978,11.9623,0.9905
979,10.3125,0.6289
980,10.8850,0.7423
981,11.0336,0.7738
982,10.1715,0.6028
983,8.9859,0.4107
984,10.1937,0.6069
985,9.9732,0.5673
986,9.3179,0.4597
987,8.0903,0.2954
988,9.4534,0.4808
989,9.4143,0.4746
990,9.4060,0.4734
991,8.1814,0.3061
992,5.7610,0.0965
993,6.7190,0.1625
994,7.4297,0.2252
995,6.8256,0.1711
996,7.3428,0.2169
997,4.9140,0.0539
998,5.0072,0.0579
999,6.2514,0.1278
1000,8.7457,0.3774
1001,7.5156,0.2337
1002,9.0586,0.4211
1003,8.6502,0.3647
1004,6.5083,0.1462
1005,7.0937,0.1940
1006,8.5836,0.3559
1007,7.2084,0.2043
1008,5.9671,0.1090
1009,6.3347,0.1336
1010,5.2955,0.0714
1011,4.7131,0.0457
1012,5.2537,0.0694
1013,4.5390,0.0391
1014,3.9174,0.0195
1015,4.4643,0.0364
1016,4.8313,0.0504
1017,5.1592,0.0649
1018,6.2937,0.1307
1019,7.3598,0.2185
1020,6.2146,0.1252
1021,7.2844,0.2114
1022,7.7660,0.2595
1023,7.0849,0.1932
1024,6.5520,0.1495
1025,8.3045,0.3208
1026,8.2373,0.3127
1027,8.6817,0.3688
1028,10.0150,0.5747
1029,7.3919,0.2216
1030,8.0028,0.2854
1031,6.5596,0.1501
1032,6.7150,0.1621
1033,5.6140,0.0881
1034,7.3757,0.2200
1035,6.6816,0.1595
1036,7.1905,0.2027
1037,6.3638,0.1356
1038,6.4574,0.1424
1039,7.8440,0.2679
1040,8.2351,0.3124
1041,8.4846,0.3432
1042,6.5621,0.1502
1043,7.4378,0.2260
1044,6.6515,0.1571
1045,5.5970,0.0872
1046,6.1795,0.1228
1047,5.3331,0.0733
1048,5.8552,0.1021
1049,7.4070,0.2230
1050,6.9405,0.1807
1051,6.2329,0.1265
1052,6.2695,0.1290
1053,6.9430,0.1809
1054,6.1143,0.1185
1055,6.2810,0.1298
1056,8.0753,0.2937
1057,8.4276,0.3360
1058,7.6809,0.2505
1059,7.7472,0.2575
1060,6.3635,0.1356
1061,8.0264,0.2881
1062,7.9022,0.2742
1063,6.4529,0.1421
1064,6.3945,0.1378
1065,6.2547,0.1280
1066,7.0167,0.1872
1067,7.8937,0.2733
1068,7.1649,0.2004
1069,7.1555,0.1995
1070,6.9699,0.1832
1071,6.3178,0.1324
1072,7.0547,0.1905
1073,7.2265,0.2060
1074,7.6038,0.2426
1075,8.2436,0.3135
1076,7.9919,0.2842
1077,8.7381,0.3764
1078,7.9224,0.2764
1079,8.0965,0.2962
1080,7.0567,0.1907
1081,8.9031,0.3990
1082,6.2638,0.1286
1083,7.6529,0.2476
1084,7.2107,0.2045
1085,7.3954,0.2219
1086,7.3991,0.2223
1087,6.5403,0.1486
1088,5.1355,0.0637
1089,6.0675,0.1154
1090,6.4195,0.1396
1091,6.4883,0.1447
1092,6.3559,0.1351
1093,6.2198,0.1256
1094,6.1986,0.1241
1095,6.6495,0.1570
1096,7.2005,0.2036
1097,6.7930,0.1684
1098,6.1975,0.1241
1099,7.1462,0.1987
1100,7.3188,0.2146
1101,6.6286,0.1553
1102,8.2056,0.3089
1103,6.4637,0.1429
1104,6.4875,0.1446
1105,6.8113,0.1699
1106,7.7146,0.2540
1107,7.2644,0.2095
1108,7.6612,0.2485
1109,5.4094,0.0772
1110,4.8946,0.0531
1111,5.0988,0.0621
1112,4.6852,0.0446
1113,4.8933,0.0530
1114,5.9078,0.1053
1115,6.5751,0.1512
1116,5.8725,0.1032
1117,6.1460,0.1206
1118,5.8059,0.0992
1119,3.9481,0.0203
1120,4.9628,0.0560
1121,3.5333,0.0101
1122,3.3364,0.0060
1123,3.9843,0.0213
1124,4.1134,0.0250
1125,3.8674,0.0181
1126,5.9452,0.1077
1127,7.8025,0.2634
